index	mean_abs_asymmetry	median_abs_asymmetry	pairs_ge_0_10	pairs_ge_0_20	max_abs_asymmetry
794	0.14240173885527063	0.13733039261208274	23	7	0.3443526170798898
795	0.10869624420093904	0.0780801900120083	14	7	0.3326118326118325
796	0.1391764818621413	0.12576905417814513	22	10	0.34113865932047754
797	0.13631919225042358	0.10457457608545964	18	11	0.34199134199134196
798	0.11784659920863508	0.1028769841269842	19	6	0.41944444444444456
799	0.11784344046667994	0.10492424242424248	18	6	0.32287157287157287
800	0.09938175990912866	0.07435279367097544	14	5	0.2974358974358975
801	0.13476829169984317	0.1131775155062607	19	6	0.44742063492063494
802	0.10971042091000478	0.11186330741388353	20	6	0.28846153846153855
803	0.09852623813091162	0.07311702382124921	15	2	0.38203463203463195
804	0.09575944261710373	0.09218285626736333	18	3	0.3090220385674931
805	0.09406752847854	0.07901252787616422	15	5	0.37222222222222223
806	0.1131550769795008	0.09149531024531024	17	8	0.2814935064935065
807	0.10375352436011848	0.08097237269772475	17	3	0.3041666666666667
808	0.09905415635249185	0.08382260345288517	13	5	0.32478632478632485
809	0.08783949601677946	0.08136532872448368	12	2	0.22992159355795716
810	0.08630236566242754	0.06610824088416917	12	3	0.3277657397375708
811	0.12281282944028354	0.10362727328156263	19	8	0.33218864468864473
812	0.10800798468852245	0.09807692307692312	17	5	0.29437229437229445
813	0.10107867864616692	0.0878517316017316	17	6	0.2541847041847042
814	0.11612934658842687	0.1173687423687424	19	6	0.317821067821068
815	0.1157455298807198	0.10774023955842132	22	3	0.27597402597402604
816	0.11579113419302277	0.08844123492811062	16	5	0.36724386724386726
817	0.1224278974905842	0.11085858585858582	19	8	0.31439393939393945
818	0.12293597458050082	0.07082431457431457	15	7	0.516955266955267
819	0.1125806604853233	0.09821643003461189	18	4	0.42777777777777787
820	0.11179987383705907	0.08918070565797831	15	6	0.425
821	0.11421773367596032	0.11564628642093433	19	7	0.3044455544455544
822	0.09886719641307778	0.06648024137620812	15	6	0.30827922077922076
823	0.09178117678704535	0.09009740259740254	15	3	0.3028638028638029
824	0.11171993715607671	0.08830266955266952	16	6	0.3330627705627705
825	0.10576050943768613	0.09211022563295279	17	2	0.45238095238095233
826	0.13568147251059115	0.1104015933561388	22	7	0.46542072950523655
827	0.08014480875663119	0.06120045660698667	10	2	0.28846153846153844
828	0.1013639288167137	0.07132095213081127	14	5	0.3287419651056016
829	0.10493558069315646	0.0925672527785204	14	5	0.28221021402839586
830	0.09204463959318848	0.08868967495728058	17	2	0.2875
831	0.12186845284503203	0.11229794888565695	21	4	0.3268398268398269
832	0.0989622283156214	0.06535624000412735	11	5	0.47655122655122656
833	0.12537521134672225	0.09270287615358039	16	6	0.45833333333333337
834	0.14806771827151682	0.13505244755244747	22	11	0.35317460317460325
835	0.09633338062168623	0.06700592141533243	13	6	0.24500688705234164
836	0.10426962730366487	0.07651862026862025	15	6	0.3621933621933623
837	0.12213459397891752	0.08819121996938892	17	10	0.47130394857667585
838	0.14047689863684315	0.1166666666666667	20	10	0.3234126984126985
839	0.10718138690556532	0.09944317046589773	18	3	0.2813852813852813
840	0.10742467606530773	0.08291847041847039	14	5	0.39702380952380956
841	0.10408947281279765	0.08547077922077922	17	5	0.38095238095238104
842	0.09001321867972528	0.06652318640955004	10	5	0.42083333333333334
843	0.0976603193699331	0.06525974025974021	13	5	0.386904761904762
844	0.13132545774991355	0.09446412173684901	17	7	0.48290598290598297
845	0.10777001122444999	0.08730852480852477	18	6	0.32539682539682546
846	0.13780226186729602	0.1312361347572615	23	7	0.38203463203463206
847	0.09657091581574083	0.04197269866283948	10	5	0.45238095238095244
848	0.11279320027319388	0.09564349169822925	18	7	0.37157287157287155
849	0.12792372036130042	0.10399322899322902	18	6	0.423076923076923
850	0.10599145015091455	0.08587662337662336	15	6	0.3323412698412699
851	0.08185838950216884	0.07059435620575186	12	3	0.24444444444444446
852	0.12772850687116588	0.11240981240981243	20	7	0.4572649572649573
853	0.10232644587238054	0.08557967143114392	14	5	0.2750000000000001
854	0.10172480610354064	0.09108946608946605	16	4	0.2883116883116883
855	0.10862639064196895	0.10484518327027928	19	7	0.32759412304866853
856	0.09995562206403007	0.09112062180244002	16	3	0.3293650793650794
857	0.1230845911983876	0.08555680430680435	16	8	0.40367965367965386
858	0.1299361454944575	0.10080260648442466	18	10	0.3767857142857143
859	0.09018194908346426	0.07609126984126985	9	2	0.5512820512820512
860	0.1372644348743367	0.12131214744851107	19	11	0.481404958677686
861	0.08367219141333528	0.07738348310531418	13	2	0.22655122655122656
862	0.11793817454695603	0.09107559107559102	16	5	0.44166666666666665
863	0.11061457141402724	0.08721638299103093	15	8	0.2922635445362718
864	0.10812214220905	0.10188353313353304	18	3	0.35024377031419285
865	0.11794319320994526	0.1117063492063492	20	5	0.31944444444444453
866	0.10100243718201467	0.07155155450609996	15	5	0.3283730158730159
867	0.12375626050535354	0.1120004213314072	20	6	0.28012265512265505
868	0.11394425506007878	0.07996933621933627	16	5	0.3647186147186147
869	0.14658545654997854	0.11836789970592787	21	9	0.5375180375180375
870	0.09317785040949786	0.08327664119917641	14	3	0.24342324342324345
871	0.15080427507870958	0.1150106837606838	19	9	0.4097222222222222
872	0.12051731656805281	0.09683313556552994	18	7	0.4134199134199133
873	0.0925017749614954	0.06762519561815336	10	5	0.30833333333333335
874	0.13153766906967934	0.13078083532628992	23	5	0.35522810522810533
875	0.1369864933165189	0.11733405483405487	22	7	0.4134199134199134
876	0.09653319454055691	0.07275043032085285	13	2	0.43376068376068383
877	0.11048236956527611	0.09842368117016001	18	3	0.35897435897435903
878	0.10497741522202685	0.08849370326643052	14	4	0.3472222222222223
879	0.10850202889655514	0.09469174213892526	17	4	0.42361111111111116
880	0.09882265414435708	0.08315456061934931	17	4	0.39722222222222225
881	0.10426643544841369	0.0882201718469324	16	7	0.3819444444444444
882	0.10779971217311164	0.08346861471861472	16	7	0.2977940291320573
883	0.11530441364921733	0.08928947617327895	17	6	0.3502886002886003
884	0.10674729148240675	0.08666125541125541	15	7	0.38311688311688313
885	0.10242618573551138	0.08398268398268405	14	2	0.37218610810160113
886	0.08698851115491107	0.061655516200970734	12	4	0.2719694233778741
887	0.11135580603143556	0.0862976039112403	14	4	0.5422405876951331
888	0.1318759711818824	0.08997443284415116	17	10	0.5222222222222223
889	0.0971449423527422	0.07174340810704447	13	6	0.33531746031746035
890	0.0937612363628689	0.07429792429792431	13	4	0.2848290598290598
891	0.10652519404253294	0.09123099123099124	16	6	0.37083333333333324
892	0.10474868925039647	0.07794494238156208	15	3	0.30530303030303035
893	0.09332224826516333	0.07716942148760325	13	3	0.24098124098124107
894	0.11266077067800286	0.09228963524738171	17	9	0.35966810966810964
895	0.12315809822478624	0.11543109668109669	20	5	0.3861111111111112
896	0.10953328392375555	0.09460637171904776	18	7	0.27976190476190477
897	0.12247514399536381	0.09740855779588176	18	4	0.49724517906336096
898	0.12212265360072656	0.10194070405338013	19	5	0.43722943722943725
899	0.11600132663806376	0.08840843499934406	16	8	0.3044871794871795
900	0.12250920844737534	0.10637544273907912	18	8	0.3972222222222223
901	0.12252737925753292	0.0975185807932287	17	5	0.5140692640692641
902	0.10688209645075841	0.08012265512265512	15	6	0.3165945165945167
903	0.12439710424532234	0.09836841562193677	18	8	0.3861111111111111
904	0.11333537107918243	0.10068542568542566	18	6	0.37467948717948724
905	0.07809176550240357	0.06525072150072156	7	2	0.44588744588744583
906	0.10860057342398356	0.07676767676767682	14	7	0.381542699724518
907	0.12241915360646687	0.09636266511266511	16	6	0.3910256410256411
908	0.131181066655085	0.10419126328217235	18	8	0.41282467532467537
909	0.12060689553487253	0.10111832611832611	19	6	0.3638888888888889
910	0.10615547348235142	0.0841810966810966	16	4	0.41666666666666663
911	0.10343063310679616	0.08176198801198803	13	6	0.2559523809523809
912	0.11769938687085507	0.09563104149371757	16	5	0.5144300144300142
913	0.09018828541875916	0.07948424103993884	15	2	0.25555555555555554
914	0.13143817091880472	0.10094627594627598	19	6	0.5614541952570121
915	0.16309506448484254	0.12978442811989555	22	12	0.5151515151515151
916	0.09685626734949183	0.08525016650016656	14	2	0.3416666666666667
917	0.11092423244978729	0.08463841518418985	15	5	0.4188034188034188
918	0.12915817313091113	0.11358225108225109	22	5	0.38690476190476186
919	0.11170438649098487	0.11507936507936506	20	5	0.30854550379198264
920	0.13145380424376374	0.1093407543871692	19	9	0.4115113759479957
921	0.12080302233017767	0.1121031746031746	20	7	0.3412042502951594
922	0.1021608244172798	0.07142857142857142	16	6	0.28100649350649354
923	0.11013522126811714	0.0683782180261053	14	4	0.47638888888888886
924	0.11189811960458568	0.11987942612942615	20	4	0.31805555555555565
925	0.10962292334331389	0.10036000775437398	18	6	0.36752136752136755
926	0.10703206962810037	0.09395661157024798	17	4	0.3842975206611571
927	0.13839749527436257	0.10652958152958153	18	7	0.39500270855904657
928	0.10924627470188716	0.10221205562114652	19	5	0.3416666666666667
929	0.14341270609142995	0.12733838931022032	21	9	0.47361111111111115
930	0.12482631770270486	0.09154456654456655	16	8	0.42542735042735036
931	0.12339792781000636	0.09645127954987115	18	7	0.5333333333333333
932	0.11916044093274142	0.10456841138659317	18	6	0.3520923520923521
933	0.09595492846533181	0.07993048618048623	14	3	0.3135281385281386
934	0.09224820395061539	0.07114161091433815	13	5	0.2906283856988082
935	0.11377756613298654	0.09498393021120288	17	5	0.3887820512820513
936	0.11058596493135547	0.0947843822843823	16	4	0.4458333333333334
937	0.10499253664799973	0.0872172055430698	13	5	0.3482905982905984
938	0.10095857228006185	0.06603991132640302	13	4	0.4639249639249639
939	0.10860881769705927	0.08013167388167386	17	7	0.2963728191000918
940	0.1334530443138531	0.10841450216450216	20	8	0.4412337662337663
941	0.11581961068996918	0.10891617185631261	19	4	0.2777777777777779
942	0.12009875962074	0.0862701692247147	15	8	0.42407592407592404
943	0.10771742839604559	0.08777302243211338	15	4	0.3568376068376069
944	0.12708722204827627	0.09845533254624161	18	8	0.37222222222222223
945	0.13173940982706453	0.10095737595737594	18	9	0.41666666666666663
946	0.08956363733759168	0.05505378459923915	14	4	0.30699855699855716
947	0.09727167201959136	0.0753748403396291	13	3	0.31002331002330996
948	0.11765227982684233	0.12148760330578515	21	6	0.25406336088154274
949	0.10940549226267322	0.09549062049062046	18	4	0.31639610389610395
950	0.1140415495729196	0.10436863605877694	19	5	0.2831890331890332
951	0.10960129088596868	0.09588006690279416	17	5	0.3319489587095221
952	0.08791352032122411	0.08644341769341773	16	2	0.2264656313952088
953	0.10498825501493024	0.09541847041847046	17	3	0.2841880341880342
954	0.1060945303116131	0.10567746647292098	20	1	0.36796536796536805
955	0.08544926826110139	0.0572649572649572	10	6	0.32539682539682535
