scenario	model	held_out_domain	fold_index	train_n	test_n	test_responders	test_non_responders	selected_features	pseudocount	best_params	inner_group_cv_auc	roc_auc	pr_auc	brier	balanced_accuracy	sensitivity	specificity	log_loss
S1_EXCLUDE_BCN12	random_forest	Matson_US	8	324	38	14	24	488	5.636676092694479e-08	"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2}"	0.5517823686030761	0.3095238095238095	0.2939987262966125	0.32785948017556255	0.39880952380952384	0.7142857142857143	0.08333333333333333	0.8608415945546399
S1_EXCLUDE_BCN12	random_forest	Spencer_US	9	265	97	71	26	500	5.636676092694479e-08	"{""max_features"": 0.3, ""min_samples_leaf"": 2}"	0.5607159631805625	0.5417118093174431	0.7570473087209892	0.2824309950187492	0.5235644637053087	0.23943661971830985	0.8076923076923077	0.7615215217413865
S2_BCN12_AS_NR	elastic_net	Frankel_US	1	324	39	24	15	474	5.636676092694479e-08	"{""C"": 0.05, ""l1_ratio"": 0.75}"	0.5722546764531256	0.4861111111111111	0.6501516410521405	0.26802166239102804	0.5166666666666666	0.5	0.5333333333333333	0.7308663130784908
S2_BCN12_AS_NR	elastic_net	Gopalakrishnan_US	2	338	25	14	11	497	5.636676092694479e-08	"{""C"": 0.05, ""l1_ratio"": 0.75}"	0.5546550223444601	0.5714285714285714	0.6021738415645979	0.24370709688793163	0.512987012987013	0.5714285714285714	0.45454545454545453	0.68050611231965
S2_BCN12_AS_NR	elastic_net	Lee_Barcelona	3	351	12	5	7	479	5.636676092694479e-08	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.5756527271701389	0.3142857142857143	0.4882034632034632	0.4027762982103009	0.44285714285714284	0.6	0.2857142857142857	1.0642770750282393
S2_BCN12_AS_NR	elastic_net	Lee_Leeds	4	345	18	10	8	483	5.636676092694479e-08	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.5744658735987657	0.5	0.5626443001443002	0.3300001130767247	0.55	0.6	0.5	1.0573012913363922
S2_BCN12_AS_NR	elastic_net	Lee_Manchester	5	338	25	12	13	483	1.0246076956443401e-07	"{""C"": 0.05, ""l1_ratio"": 0.75}"	0.5614547382036943	0.46153846153846156	0.556107795775315	0.2593544790141429	0.48397435897435903	0.5833333333333334	0.38461538461538464	0.7120661550968583
S2_BCN12_AS_NR	elastic_net	Lee_PRIMM_NL	6	308	55	33	22	483	5.636676092694479e-08	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.49067316573499375	0.5440771349862259	0.6626525256601347	0.28590316213801903	0.5075757575757576	0.6060606060606061	0.4090909090909091	0.8185098680369822
S2_BCN12_AS_NR	elastic_net	Lee_PRIMM_UK	7	309	54	33	21	469	5.636676092694479e-08	"{""C"": 1.0, ""l1_ratio"": 0.75}"	0.4836929530732406	0.6753246753246754	0.818574295784911	0.3580487899131502	0.5670995670995671	0.5151515151515151	0.6190476190476191	1.522502149224908
S2_BCN12_AS_NR	elastic_net	Matson_US	8	325	38	14	24	489	5.636676092694479e-08	"{""C"": 0.05, ""l1_ratio"": 0.75}"	0.5624553496594491	0.42857142857142855	0.42418317042095377	0.2713148825227612	0.41666666666666663	0.5	0.3333333333333333	0.7369682481741164
S2_BCN12_AS_NR	elastic_net	Spencer_US	9	266	97	71	26	500	5.636676092694479e-08	"{""C"": 0.05, ""l1_ratio"": 0.25}"	0.5173617634286397	0.5595882990249187	0.784255635059958	0.29526634142599	0.5677139761646804	0.36619718309859156	0.7692307692307693	0.8029273482044069
S2_BCN12_AS_NR	ridge	Frankel_US	1	324	39	24	15	474	5.636676092694479e-08	"{""C"": 10.0}"	0.49009682531328813	0.38333333333333336	0.557617320840387	0.5468081491462247	0.3458333333333333	0.2916666666666667	0.4	3.2353722379816587
S2_BCN12_AS_NR	ridge	Gopalakrishnan_US	2	338	25	14	11	497	5.636676092694479e-08	"{""C"": 0.02}"	0.48513892170113554	0.37012987012987014	0.4921423260379667	0.3113175635966912	0.4577922077922078	0.6428571428571429	0.2727272727272727	0.8520217525627374
S2_BCN12_AS_NR	ridge	Lee_Barcelona	3	351	12	5	7	479	5.636676092694479e-08	"{""C"": 0.1}"	0.5138210575062208	0.3142857142857143	0.4893939393939394	0.47439513506298664	0.41428571428571426	0.4	0.42857142857142855	1.4928912549128424
S2_BCN12_AS_NR	ridge	Lee_Leeds	4	345	18	10	8	483	5.636676092694479e-08	"{""C"": 10.0}"	0.518600775420182	0.37499999999999994	0.5479749417249417	0.43980788919740776	0.475	0.7	0.25	3.981558411719836
