scenario	model	feature	folds_selected	unique_outer_folds	nonzero_fold_fraction	mean_importance	mean_absolute_importance	median_importance	sign_consistency
S1_EXCLUDE_BCN12	ridge	s__Harryflintia_acetispora	9	9	1.0	0.20562271974862817	0.20562271974862817	0.182641281552517	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB13493_SGB15238	9	9	1.0	0.2041173663658494	0.2041173663658494	0.19289349422245225	1.0
S1_EXCLUDE_BCN12	ridge	s__Anaerotruncus_massiliensis	9	9	1.0	0.19737234628482372	0.20370387553528507	0.10901404421535163	0.8888888888888888
S1_EXCLUDE_BCN12	ridge	s__Anaerofilum_sp_BX8	9	9	1.0	0.2027146028832398	0.2027146028832398	0.14405348723593053	1.0
S1_EXCLUDE_BCN12	ridge	s__Adlercreutzia_equolifaciens	9	9	1.0	-0.19401122552719852	0.20244111072344434	-0.06511074893413417	0.8888888888888888
S1_EXCLUDE_BCN12	ridge	s__Enterocloster_citroniae	9	9	1.0	0.2020677477888654	0.2020677477888654	0.20103942076326006	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB45497_SGB63169	9	9	1.0	-0.20167447025048849	0.20167447025048849	-0.11573514253205569	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB3602_SGB4574	9	9	1.0	0.20150427853223316	0.2015388719455458	0.10110081107542489	0.8888888888888888
S1_EXCLUDE_BCN12	ridge	s__Dielma_fastidiosa	9	9	1.0	-0.20091555507804756	0.20091555507804756	-0.16405987419267634	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB3278_SGB4328	8	8	1.0	-0.1994669699611386	0.1994669699611386	-0.12408277404082838	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB9724_SGB15278	9	9	1.0	-0.1979908554688758	0.1979908554688758	-0.14515258483912366	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB9640_SGB15115	9	9	1.0	-0.19473365705527845	0.19767080153642022	-0.13164581043855608	0.8888888888888888
S1_EXCLUDE_BCN12	ridge	s__Christensenella_sp_Marseille_P3954	7	7	1.0	0.16684593240025455	0.19764135657803986	0.030291842015537137	0.7142857142857143
S1_EXCLUDE_BCN12	ridge	s__Enterocloster_lavalensis	9	9	1.0	0.19256402612025844	0.19508327503473752	0.17089898504713824	0.8888888888888888
S1_EXCLUDE_BCN12	ridge	s__GGB9677_SGB15180	9	9	1.0	0.19487793418746657	0.19487793418746657	0.1649047539709669	1.0
S1_EXCLUDE_BCN12	ridge	s__Actinomyces_SGB17132	6	6	1.0	-0.19355263833541528	0.19355263833541528	-0.1887205994146709	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB80140_SGB15224	9	9	1.0	0.1930885282008702	0.1930885282008702	0.16754917442284975	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB3730_SGB5060	9	9	1.0	0.18123174227330663	0.1921302749181396	0.18888458717511447	0.8888888888888888
S1_EXCLUDE_BCN12	ridge	s__GGB51441_SGB71759	9	9	1.0	0.1911730268447234	0.1911730268447234	0.21317485273228565	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB31234_SGB14869	9	9	1.0	0.16024978390570577	0.19047879410662272	0.06793391854594309	0.7777777777777778
S1_EXCLUDE_BCN12	ridge	s__Enterocloster_asparagiformis	9	9	1.0	-0.18466626284427334	0.18815925388111443	-0.1952908422875815	0.8888888888888888
S1_EXCLUDE_BCN12	ridge	s__GGB9760_SGB15374	9	9	1.0	-0.18692746080497288	0.18692746080497288	-0.1305180912667579	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB3034_SGB4030	9	9	1.0	0.18689887418757825	0.18689887418757825	0.13986054415856666	1.0
S1_EXCLUDE_BCN12	ridge	s__Isoptericola_variabilis	9	9	1.0	0.18609960167563683	0.18609960167563683	0.2473461594306137	1.0
