permutation_index	lodo_roc_auc	losfo_roc_auc
122	0.462123603307872	0.45240199482355903
123	0.5772678492519412	0.5675146771037182
124	0.4414494034467521	0.44012372956252754
125	0.5399911621741051	0.510636954737706
126	0.520390126885929	0.554131683605833
127	0.475127832838836	0.48573322391263174
128	0.47405466826589227	0.49589672369168614
129	0.5251878038002652	0.5477873871599016
130	0.5219051827536141	0.48103023799002587
131	0.5176125244618396	0.529859226058961
132	0.5173915788144688	0.5578246322833155
133	0.5386970519537908	0.5673252951202575
134	0.4841234770532164	0.4832081307998232
135	0.5286913704942869	0.5172653241588284
136	0.5200113629190076	0.4988005807714159
137	0.48589104223218227	0.474843759863645
138	0.5166656145445363	0.5250931128085349
139	0.5062496054542012	0.5181175430844013
140	0.4795467457862509	0.49501294110220323
141	0.47667445237043116	0.5064705511015719
142	0.5273341329461524	0.5075437156745155
143	0.4668897165582981	0.4969698882646298
144	0.4771794709929929	0.44539486143551543
145	0.5409380720914084	0.49801148917366334
146	0.46247080361088316	0.43532605264819146
147	0.4527176314626602	0.4608610567514677
148	0.4319487406098099	0.46004040148980496
149	0.5675146771037182	0.5334259200808029
150	0.47673757969825137	0.43450539738652866
151	0.4735496496433306	0.434600088378259
152	0.49728552490373085	0.4555583612145698
153	0.5004734549586516	0.512436083580582
154	0.441417839782842	0.46133451171011935
155	0.5453885487027333	0.5146771037181996
156	0.4533173410769522	0.43816678240010104
157	0.4084338109967805	0.43898743766176374
158	0.45454832396944633	0.4998737453443596
159	0.4814090019569472	0.4571681080739852
160	0.5181491067483114	0.546745786250868
161	0.4712770658418029	0.41386276118931886
162	0.4714033204974434	0.45678934410706395
163	0.47923110914714984	0.5153399406603119
164	0.5533741556719904	0.5046082949308757
165	0.45751530837699644	0.45527428823937877
166	0.5486711697493845	0.5251246764724449
167	0.49494981377438296	0.4686572817372641
168	0.4607979294236475	0.45568461587021025
169	0.5211792184836815	0.47661132504261094
170	0.5076068430023357	0.5205795088693896
171	0.48797424405024936	0.513603939145256
172	0.6053595101319361	0.5895461145129727
173	0.5176125244618395	0.5257559497506471
174	0.43160154030679876	0.442585695347516
175	0.5680828230541002	0.5359194495297014
176	0.42462597058266527	0.45723123540180544
177	0.45126570292279533	0.42456284325484506
178	0.5379710876838584	0.4690991730320056
179	0.4451739157881447	0.44545798876333564
180	0.39779685625907457	0.417745091850262
181	0.4440376238873809	0.4197651663405088
182	0.4955179597247649	0.4858594785682722
183	0.5349409759484881	0.5290385707972982
184	0.5274288239378827	0.5463354586200366
185	0.5043242219556846	0.47973612776971153
186	0.4908781011299792	0.4513919575784357
187	0.4688782273846348	0.43412663341960733
188	0.4958020326999558	0.5354459945710498
189	0.5181175430844013	0.4735812133072408
190	0.480777728678745	0.4754750331418471
191	0.5164762325610758	0.4818193295877785
192	0.4102645035035667	0.43624139890158453
193	0.46704753487784867	0.47339183132378004
194	0.4066978094817246	0.4364939082128654
195	0.4641436777981189	0.48724827978031693
196	0.45476926961681713	0.43576794394293294
197	0.5158449592828735	0.4839025314058456
198	0.48052521936746423	0.4535698503882331
199	0.5138248847926267	0.4882898806893504
200	0.5735749005744587	0.5006944006060223
201	0.49122530143299037	0.48838457168108074
202	0.5537213559750016	0.5683984596932012
203	0.3983650022094565	0.4070450097847359
204	0.46379647749510766	0.502682911432359
205	0.46518527870715237	0.44918250110472824
206	0.46796288113124174	0.44668897165582977
207	0.5925130989205227	0.5419165456726217
208	0.5174231424783788	0.5108894640489868
209	0.4407550028407297	0.42323716937062056
210	0.4673631715169497	0.44555267975506596
211	0.5297329714033205	0.48611198787955306
212	0.48948929991793455	0.48535445994571047
213	0.42453127959093495	0.45177072154535697
214	0.45603181617322136	0.438450855375292
215	0.5048292405782463	0.5030301117353703
216	0.5006628369421122	0.5026513477684489
217	0.4912568650969005	0.48519664162616
218	0.4050880626223092	0.3877280474717505
219	0.497632725206742	0.4669528438861183
220	0.4735812133072407	0.4896786819013951
221	0.451770721545357	0.4635439681838268
222	0.551196262862193	0.5537213559750016
223	0.5667887128337857	0.5570986680133829
224	0.5256296950950066	0.518022852092671
225	0.4254781895082381	0.4306546303894956
226	0.433432232813585	0.44170191275803294
227	0.5037876396692128	0.48800580771415947
228	0.4209330219051828	0.42992866611956315
229	0.45309639542958147	0.4637017865033773
230	0.45442206931380597	0.4988637080992362
231	0.5200113629190076	0.5147402310460198
232	0.48772173473896857	0.5231677293100183
233	0.5258506407423774	0.5300170443785115
234	0.47711634366517264	0.5066914967489425
235	0.544662584432801	0.5059024051511899
236	0.5496180796666876	0.5127832838835933
237	0.47130862950571306	0.5243355848746922
238	0.5304273720093429	0.5485133514298339
239	0.4311912126759675	0.4492771920964586
240	0.42213244113376686	0.4613345117101193
241	0.4297392841361025	0.4780316899185658
242	0.5116469919828294	0.5254087494476358
243	0.46193422132441136	0.47493845085537534
244	0.5306167539928035	0.4886055173284516
245	0.41218988700208326	0.4421122403888643
246	0.41370494286976833	0.4055615175809608
247	0.44488984281295374	0.446152389369358
248	0.37257748879489927	0.4475096269174926
249	0.4666056435831072	0.49403446752098984
250	0.5704500978473581	0.577804431538413
251	0.4376933274414494	0.47907329082759925
252	0.43478947036171955	0.4532857774130421
