feature_cap	analysis_set	directed_pairs	mean_roc_auc	median_roc_auc	sd_roc_auc	mean_pr_auc	mean_brier	reciprocal_pairs	mean_abs_delta_auc	median_abs_delta_auc	pairs_ge_0_10	pairs_ge_0_20	max_abs_delta_auc	repeat
10	downsample_sources_to_25_all_targets	56	0.49083620876308826	0.5	0.07800919016445321	0.5670543795142489	0.25176563273469504	21	0.04741815812787095	0.038239538239538295	3	0	0.15223665223665223	11
10	downsample_sources_to_25_all_targets	56	0.5130582790251027	0.5	0.10172225285211109	0.5854602234987257	0.25011856163873253	21	0.06514850031175257	0.05128205128205132	6	0	0.1777777777777778	12
10	downsample_sources_to_25_all_targets	56	0.5101260433721106	0.5	0.10279454295883661	0.5980420275037516	0.2506393784249841	21	0.10875097725747075	0.1217948717948718	11	2	0.2595943180450223	13
10	downsample_sources_to_25_all_targets	56	0.4883577707681421	0.5	0.10519646446583511	0.5747817553880077	0.25238301684846576	21	0.08017019478973018	0.08264462809917361	9	0	0.18253968253968245	14
10	downsample_sources_to_25_all_targets	56	0.49112741359889023	0.5	0.11153195364526317	0.5817096444356787	0.25103702014145785	21	0.10616846824090283	0.0641025641025641	10	3	0.3488783943329399	15
10	downsample_sources_to_25_all_targets	56	0.49239539520572306	0.5	0.08903814177593265	0.5692870677038655	0.25209840833671493	21	0.0785858726799828	0.061111111111111116	8	3	0.22707720683072802	16
10	downsample_sources_to_25_all_targets	56	0.5115448075902564	0.5	0.118846351014367	0.5913526593730791	0.25013513863220843	21	0.10732038080103742	0.1011166863439591	11	3	0.27388808374723855	17
10	downsample_sources_to_25_all_targets	56	0.5001903779213946	0.5	0.1117530660493606	0.5865456338442884	0.254341461571856	21	0.0945511883583495	0.0811188029497889	8	3	0.2583333333333333	18
10	downsample_sources_to_25_all_targets	56	0.49003045130920336	0.5	0.10685975724852403	0.5733805716298358	0.25006499105600344	21	0.09079947872247122	0.07692307692307693	7	1	0.3101874651170426	19
10	downsample_sources_to_25_all_targets	56	0.5052227895870719	0.5	0.10855043823873245	0.5921661585815033	0.2510904936487932	21	0.07806094307260396	0.04662698412698413	6	2	0.2884495004213315	20
10	downsample_sources_to_25_all_targets	56	0.5132359235535109	0.5	0.08994981324405071	0.5831496728410711	0.2499019004036588	21	0.05652473555345332	0.019230769230769273	6	1	0.30411255411255417	21
10	downsample_sources_to_25_all_targets	56	0.5110659459518238	0.5	0.11632903467428574	0.6099481825484558	0.24971937619628123	21	0.10997823890063692	0.08692056183253372	9	4	0.2911255411255412	22
10	downsample_sources_to_25_all_targets	56	0.5051310304618506	0.5	0.1268733970876242	0.5991232908293949	0.25075248506468056	21	0.08973626354845489	0.08333333333333326	9	1	0.21695526695526696	23
10	downsample_sources_to_25_all_targets	56	0.5004701850595393	0.5	0.1082634405332721	0.5936736934037086	0.2515995288617896	21	0.07851096723192937	0.0641025641025641	7	1	0.2138888888888888	24
10	downsample_sources_to_25_all_targets	56	0.4885733392188315	0.5	0.09482596535556959	0.5705848410240667	0.25138322612832487	21	0.0886049086558964	0.06666666666666665	8	4	0.2166722166722166	25
10	downsample_sources_to_25_all_targets	56	0.4875833206384697	0.5	0.11232971688148911	0.5822274644132612	0.2536410490373025	21	0.06918479497590528	0.04570707070707081	5	0	0.19657615112160554	26
10	downsample_sources_to_25_all_targets	56	0.49722248220424786	0.5	0.11909915054429285	0.5970091605676621	0.25430532427739067	21	0.10739127327292686	0.07642168437622981	10	4	0.22970779220779225	27
10	downsample_sources_to_25_all_targets	56	0.5061451765321289	0.5	0.11787521304463787	0.5938504590886622	0.25109244333559805	21	0.08316121620150335	0.075297619047619	7	1	0.2564102564102564	28
10	downsample_sources_to_25_all_targets	56	0.5036648214909544	0.5	0.11622182185055034	0.5909717829526677	0.25215631817232703	21	0.08853191691242725	0.06960996749729143	6	2	0.32113095238095224	29
10	downsample_sources_to_25_all_targets	56	0.5038493071473625	0.5	0.1100896120311634	0.5894931470861904	0.2520460592580721	21	0.09392956413374375	0.07969303423848872	10	1	0.2305555555555555	30
10	downsample_sources_to_25_all_targets	56	0.5054161744012496	0.5	0.1061076554685033	0.5846092039293993	0.25086202744634484	21	0.078371481889179	0.059884559884559874	9	1	0.21153846153846145	31
10	downsample_sources_to_25_all_targets	56	0.5061197038612669	0.5	0.09896958697506436	0.5986923817844996	0.25265342430292675	21	0.07224371703062026	0.04166666666666663	5	1	0.21794871794871795	32
