feature_cap	train_domain	test_domain	train_n	test_n	train_responders	test_responders	selected_features	pseudocount	roc_auc	pr_auc	brier
25	Lee_Manchester	Spencer_US	25	97	12	71	25	5.636676092699121e-08	0.44122426868905745	0.7009823213215872	0.25528262364156545
25	Lee_PRIMM_NL	Frankel_US	55	39	33	24	25	2.1269490829764473e-07	0.5444444444444445	0.6536031330759591	0.24226566487376944
25	Lee_PRIMM_NL	Gopalakrishnan_US	55	25	33	14	25	2.1269490829764473e-07	0.6948051948051949	0.7887712068633121	0.22601435721522137
25	Lee_PRIMM_NL	Lee_Barcelona	55	12	33	6	25	2.1269490829764473e-07	0.2777777777777778	0.41789321789321787	0.2790132175757451
25	Lee_PRIMM_NL	Lee_Leeds	55	18	33	10	25	2.1269490829764473e-07	0.375	0.5662745098039216	0.26255076618484796
25	Lee_PRIMM_NL	Lee_Manchester	55	25	33	12	25	2.1269490829764473e-07	0.5192307692307692	0.5501412677499633	0.2516740438257868
25	Lee_PRIMM_NL	Lee_PRIMM_UK	55	54	33	33	25	2.1269490829764473e-07	0.5988455988455988	0.6929743817886331	0.24062853186295036
25	Lee_PRIMM_NL	Matson_US	55	38	33	14	25	2.1269490829764473e-07	0.35119047619047616	0.3231412145021697	0.26833216246704106
25	Lee_PRIMM_NL	Spencer_US	55	97	33	71	25	2.1269490829764473e-07	0.4956663055254604	0.7591956321737003	0.24059458761459876
25	Lee_PRIMM_UK	Frankel_US	54	39	33	24	25	1.0701941407104337e-07	0.5277777777777778	0.6871153341540015	0.24558046386082102
25	Lee_PRIMM_UK	Gopalakrishnan_US	54	25	33	14	25	1.0701941407104337e-07	0.6103896103896104	0.7259755489357627	0.23982204518986908
25	Lee_PRIMM_UK	Lee_Barcelona	54	12	33	6	25	1.0701941407104337e-07	0.33333333333333337	0.45105820105820105	0.2616391280801626
25	Lee_PRIMM_UK	Lee_Leeds	54	18	33	10	25	1.0701941407104337e-07	0.5875	0.706584249084249	0.24325049317836525
25	Lee_PRIMM_UK	Lee_Manchester	54	25	33	12	25	1.0701941407104337e-07	0.7115384615384616	0.7641294979530274	0.23710530810275315
25	Lee_PRIMM_UK	Lee_PRIMM_NL	54	55	33	33	25	1.0701941407104337e-07	0.5495867768595042	0.6129067980523032	0.24296990972043023
25	Lee_PRIMM_UK	Matson_US	54	38	33	14	25	1.0701941407104337e-07	0.5446428571428571	0.4183395471650476	0.2535319446643433
25	Lee_PRIMM_UK	Spencer_US	54	97	33	71	25	1.0701941407104337e-07	0.466955579631636	0.7561388919843973	0.2468704826838063
25	Matson_US	Frankel_US	38	39	14	24	25	1.0642079206855303e-07	0.5861111111111111	0.745786691599118	0.2561052314196419
25	Matson_US	Gopalakrishnan_US	38	25	14	14	25	1.0642079206855303e-07	0.5324675324675324	0.6489312471640174	0.26079550994593814
25	Matson_US	Lee_Barcelona	38	12	14	6	25	1.0642079206855303e-07	0.5277777777777778	0.5378306878306878	0.2433406502688813
25	Matson_US	Lee_Leeds	38	18	14	10	25	1.0642079206855303e-07	0.6125	0.777318376068376	0.2519253451706152
25	Matson_US	Lee_Manchester	38	25	14	12	25	1.0642079206855303e-07	0.6025641025641025	0.5396224146224147	0.24574480956256026
25	Matson_US	Lee_PRIMM_NL	38	55	14	33	25	1.0642079206855303e-07	0.47658402203856753	0.5656646574074055	0.24933054012839176
25	Matson_US	Lee_PRIMM_UK	38	54	14	33	25	1.0642079206855303e-07	0.6378066378066378	0.7003359050419681	0.23187331705195277
25	Matson_US	Spencer_US	38	97	14	71	25	1.0642079206855303e-07	0.4165763813651137	0.7079699913395504	0.2683016867048974
25	Spencer_US	Frankel_US	97	39	71	24	25	5.144767586148716e-07	0.36388888888888893	0.5280388626800878	0.26505683170982053
25	Spencer_US	Gopalakrishnan_US	97	25	71	14	25	5.144767586148716e-07	0.3961038961038961	0.5011051718805117	0.2844016308160551
25	Spencer_US	Lee_Barcelona	97	12	71	6	25	5.144767586148716e-07	0.6388888888888888	0.6906084656084656	0.2358687364359575
25	Spencer_US	Lee_Leeds	97	18	71	10	25	5.144767586148716e-07	0.6625	0.7439194139194139	0.23005890916935823
