scheme	mode	seed	prediction_type	n	responders	non_responders	prevalence	roc_auc	pr_auc	pr_lift	brier	log_loss	calibration_intercept	calibration_slope	macro_roc_auc	macro_pr_auc	folds
LOSFO	standard_transductive	20260802	locked_downstream	363	217	146	0.5977961432506887	0.48412347705321634	0.5835941342340383	0.9762427222440363	0.36190892477761594	1.0744054827895044	0.36494101554497566	-0.05541372896763336	0.5065473037933332	0.5890933211058351	5
LOSFO	standard_transductive	20260802	embedded_DEBIASM	363	217	146	0.5977961432506887	0.4231740420428003	0.543501792986909	0.9091758103882395	0.2638360888030827	0.7276484654234534	0.7469225894251953	-0.5654187519822511	0.5009481377843679	0.5814172466979483	5
LOSFO	standard_transductive	20260803	locked_downstream	363	217	146	0.5977961432506887	0.4856385329209015	0.5850546228518587	0.9786858437567959	0.36102534173916556	1.0708587525256388	0.366473213202562	-0.05301992557388288	0.5068672287656405	0.5895175482944855	5
LOSFO	standard_transductive	20260803	embedded_DEBIASM	363	217	146	0.5977961432506887	0.42904488353008013	0.5485188511157915	0.9175684007144345	0.2636443384493206	0.7274942936906025	0.7321924424028224	-0.5285942867601306	0.5040167930660889	0.5865975338278743	5
LOSFO	standard_transductive	20260804	locked_downstream	363	217	146	0.5977961432506887	0.48421816804494666	0.5839537746495735	0.9768443327087335	0.36248833670445957	1.07743836556784	0.36462254831242374	-0.05523345107172166	0.5065461204463302	0.5896044541917691	5
LOSFO	standard_transductive	20260804	embedded_DEBIASM	363	217	146	0.5977961432506887	0.4216589861751152	0.5433255575938293	0.9088810018735485	0.2619759416775077	0.722902462062865	0.7282093615970622	-0.5671219564030284	0.49815706859983155	0.588833630143332	5
LOSFO	standard_transductive	20260805	locked_downstream	363	217	146	0.5977961432506887	0.48551227826526105	0.5847020005911447	0.9780959733391038	0.36108647613654177	1.071580761607785	0.366483017685869	-0.05314672198608306	0.5068295418662515	0.589161084539613	5
LOSFO	standard_transductive	20260805	embedded_DEBIASM	363	217	146	0.5977961432506887	0.42020705763525035	0.542733947092285	0.9078913492834075	0.26357909041059974	0.7267203775354136	0.7437935595244999	-0.574186942831145	0.49546763628273965	0.5784651838043284	5
LOSFO	standard_transductive	20260806	locked_downstream	363	217	146	0.5977961432506887	0.48475475033141846	0.5841168937697908	0.9771172001771155	0.3621880141922727	1.0758041794142787	0.36521435371853417	-0.054553993024273335	0.5065910543689987	0.5882435374441918	5
LOSFO	standard_transductive	20260806	embedded_DEBIASM	363	217	146	0.5977961432506887	0.42229025945331733	0.544104686196343	0.9101843368169239	0.26415301085311427	0.7281326358065966	0.7473834156726493	-0.5620120753822693	0.4923281508223072	0.5776439709709058	5
