scheme	held_out_group	mode	seed	prediction_type	debiasm_roc_auc	frozen_baseline_roc_auc	delta_roc_auc	debiasm_pr_auc	frozen_baseline_pr_auc	delta_pr_auc	debiasm_brier	frozen_baseline_brier	delta_brier
LODO	Lee_Barcelona	online_adaptive	20260805	embedded_DEBIASM	0.3055555555555556	0.4444444444444444	-0.13888888888888884	0.43439153439153444	0.6471861471861472	-0.21279461279461276	0.2893578871000244	0.3441184737711902	-0.05476058667116579
LODO	Lee_Barcelona	online_adaptive	20260806	locked_downstream	0.611111111111111	0.4444444444444444	0.16666666666666663	0.7186868686868686	0.6471861471861472	0.0715007215007214	0.3341484048994287	0.3441184737711902	-0.009970068871761495
LODO	Lee_Barcelona	online_adaptive	20260806	embedded_DEBIASM	0.2777777777777778	0.4444444444444444	-0.16666666666666663	0.42328042328042326	0.6471861471861472	-0.22390572390572394	0.28959033206860835	0.3441184737711902	-0.054528141702581856
LODO	Lee_Barcelona	standard_transductive	20260802	locked_downstream	0.4444444444444444	0.4444444444444444	0.0	0.5833333333333334	0.6471861471861472	-0.06385281385281383	0.3514070857516385	0.3441184737711902	0.0072886119804482785
LODO	Lee_Barcelona	standard_transductive	20260802	embedded_DEBIASM	0.5277777777777777	0.4444444444444444	0.08333333333333326	0.6876623376623376	0.6471861471861472	0.04047619047619044	0.28478790553596145	0.3441184737711902	-0.05933056823522875
LODO	Lee_Barcelona	standard_transductive	20260803	locked_downstream	0.4444444444444444	0.4444444444444444	0.0	0.5833333333333334	0.6471861471861472	-0.06385281385281383	0.3476974847372447	0.3441184737711902	0.0035790109660545077
LODO	Lee_Barcelona	standard_transductive	20260803	embedded_DEBIASM	0.5277777777777777	0.4444444444444444	0.08333333333333326	0.6876623376623376	0.6471861471861472	0.04047619047619044	0.28514384637370266	0.3441184737711902	-0.058974627397487545
LODO	Lee_Barcelona	standard_transductive	20260804	locked_downstream	0.4444444444444444	0.4444444444444444	0.0	0.5833333333333334	0.6471861471861472	-0.06385281385281383	0.34950728369655293	0.3441184737711902	0.005388809925362725
LODO	Lee_Barcelona	standard_transductive	20260804	embedded_DEBIASM	0.5277777777777777	0.4444444444444444	0.08333333333333326	0.6876623376623376	0.6471861471861472	0.04047619047619044	0.28595958529589954	0.3441184737711902	-0.05815888847529066
LODO	Lee_Barcelona	standard_transductive	20260805	locked_downstream	0.4444444444444444	0.4444444444444444	0.0	0.5833333333333334	0.6471861471861472	-0.06385281385281383	0.3500049802851906	0.3441184737711902	0.005886506514000411
LODO	Lee_Barcelona	standard_transductive	20260805	embedded_DEBIASM	0.5277777777777777	0.4444444444444444	0.08333333333333326	0.6876623376623376	0.6471861471861472	0.04047619047619044	0.28486948284632635	0.3441184737711902	-0.059248990924863854
LODO	Lee_Barcelona	standard_transductive	20260806	locked_downstream	0.4444444444444444	0.4444444444444444	0.0	0.5833333333333334	0.6471861471861472	-0.06385281385281383	0.34846318536471355	0.3441184737711902	0.004344711593523343
LODO	Lee_Barcelona	standard_transductive	20260806	embedded_DEBIASM	0.5277777777777777	0.4444444444444444	0.08333333333333326	0.6876623376623376	0.6471861471861472	0.04047619047619044	0.2853238192079178	0.3441184737711902	-0.05879465456327243
LODO	Lee_Leeds	online_adaptive	20260802	locked_downstream	0.5375000000000001	0.5125000000000001	0.025000000000000022	0.5739128845011199	0.5628427128427129	0.011070171658406958	0.32687761178553953	0.3079940905993599	0.01888352118617964
LODO	Lee_Leeds	online_adaptive	20260802	embedded_DEBIASM	0.47500000000000003	0.5125000000000001	-0.03750000000000003	0.6206733544233544	0.5628427128427129	0.05783064158064144	0.2588762245308638	0.3079940905993599	-0.04911786606849611
LODO	Lee_Leeds	online_adaptive	20260803	locked_downstream	0.525	0.5125000000000001	0.012499999999999956	0.5572462178344532	0.5628427128427129	-0.005596495008259761	0.3261960082283837	0.3079940905993599	0.01820191762902379
LODO	Lee_Leeds	online_adaptive	20260803	embedded_DEBIASM	0.4875	0.5125000000000001	-0.025000000000000078	0.6356733544233544	0.5628427128427129	0.07283064158064145	0.2589744648078278	0.3079940905993599	-0.04901962579153207
LODO	Lee_Leeds	online_adaptive	20260804	locked_downstream	0.525	0.5125000000000001	0.012499999999999956	0.5572462178344532	0.5628427128427129	-0.005596495008259761	0.32679954881262213	0.3079940905993599	0.01880545821326224
LODO	Lee_Leeds	online_adaptive	20260804	embedded_DEBIASM	0.47500000000000003	0.5125000000000001	-0.03750000000000003	0.5751605339105339	0.5628427128427129	0.012317821067820978	0.25818376796548925	0.3079940905993599	-0.04981032263387064
LODO	Lee_Leeds	online_adaptive	20260805	locked_downstream	0.525	0.5125000000000001	0.012499999999999956	0.5572462178344532	0.5628427128427129	-0.005596495008259761	0.32666931682776157	0.3079940905993599	0.018675226228401676
LODO	Lee_Leeds	online_adaptive	20260805	embedded_DEBIASM	0.4875	0.5125000000000001	-0.025000000000000078	0.6356733544233544	0.5628427128427129	0.07283064158064145	0.2574663839544077	0.3079940905993599	-0.05052770664495221
LODO	Lee_Leeds	online_adaptive	20260806	locked_downstream	0.5375000000000001	0.5125000000000001	0.025000000000000022	0.5739128845011199	0.5628427128427129	0.011070171658406958	0.3268793543514469	0.3079940905993599	0.01888526375208699
LODO	Lee_Leeds	online_adaptive	20260806	embedded_DEBIASM	0.4625000000000001	0.5125000000000001	-0.04999999999999999	0.5706733544233544	0.5628427128427129	0.007830641580641506	0.258617048908645	0.3079940905993599	-0.049377041690714885
LODO	Lee_Leeds	standard_transductive	20260802	locked_downstream	0.5125	0.5125000000000001	-1.1102230246251565e-16	0.5656998556998558	0.5628427128427129	0.0028571428571428914	0.3147767452372351	0.3079940905993599	0.006782654637875196
LODO	Lee_Leeds	standard_transductive	20260802	embedded_DEBIASM	0.4125	0.5125000000000001	-0.10000000000000009	0.615676219205631	0.5628427128427129	0.05283350636291806	0.272548042647787	0.3079940905993599	-0.03544604795157291
LODO	Lee_Leeds	standard_transductive	20260803	locked_downstream	0.5125	0.5125000000000001	-1.1102230246251565e-16	0.5656998556998558	0.5628427128427129	0.0028571428571428914	0.3135152000238148	0.3079940905993599	0.005521109424454884
LODO	Lee_Leeds	standard_transductive	20260803	embedded_DEBIASM	0.4375	0.5125000000000001	-0.07500000000000007	0.6273645308939426	0.5628427128427129	0.0645218180512297	0.2725677765428899	0.3079940905993599	-0.03542631405647001
LODO	Lee_Leeds	standard_transductive	20260804	locked_downstream	0.5	0.5125000000000001	-0.012500000000000067	0.5585569985569987	0.5628427128427129	-0.004285714285714226	0.31362119638320246	0.3079940905993599	0.0056271057838425675
LODO	Lee_Leeds	standard_transductive	20260804	embedded_DEBIASM	0.4	0.5125000000000001	-0.11250000000000004	0.6085333620627738	0.5628427128427129	0.04569064922006083	0.27186551011243726	0.3079940905993599	-0.036128580486922635
LODO	Lee_Leeds	standard_transductive	20260805	locked_downstream	0.5125	0.5125000000000001	-1.1102230246251565e-16	0.5656998556998558	0.5628427128427129	0.0028571428571428914	0.31332577231967046	0.3079940905993599	0.005331681720310566
LODO	Lee_Leeds	standard_transductive	20260805	embedded_DEBIASM	0.42500000000000004	0.5125000000000001	-0.08750000000000002	0.6194857430151548	0.5628427128427129	0.05664303017244188	0.27111623270494634	0.3079940905993599	-0.03687785789441356
