scenario	species	classification	domain_k	domain_pooled_effect	domain_ci_low	domain_ci_high	domain_p_value	domain_fdr_q	domain_I2	domain_prediction_low	domain_prediction_high	domain_sign_consistency	positive_domains	negative_domains	significant_positive_domains	significant_negative_domains	family_k	family_pooled_effect	family_p_value	family_fdr_q	family_I2	family_sign_consistency	family_same_direction	family_support_p_lt_0_10	prevalence_meta_effect	prevalence_meta_p	prevalence_meta_fdr_q	prevalence_same_direction	dominant_domain_share	influential_domain	loo_sign_flip
PRIMARY	s__GGB3444_SGB4594	CONSISTENT_NONSIGNIFICANT	5	-0.20843058233878325	-0.6144710561040827	0.19760989142651614	0.22722404700400287	0.9899399288667535	2.0415433592180836	-0.673846593917423	0.2569854292398564	0.8	1	4	0	1	3	-0.1933635765317939	0.2794956950436417	0.9868213417628564	0.0	0.6666666666666666	1	0	-0.34976411463839013	0.370648970751563	0.9996325270282626	1	0.5818171063029551	Matson_US	0
PRIMARY	s__Streptococcus_oralis	CONSISTENT_NONSIGNIFICANT	5	-0.18686618239387268	-0.5867616779505701	0.21302931316282472	0.26426134342373675	0.9899399288667535	0.0	-0.6452386318916339	0.2715062671038886	0.8	1	4	0	0	3	-0.12353158424359782	0.4460015513386657	0.9868213417628564	0.0	1.0	1	0	-0.43141595544895905	0.30675952840934784	0.9996325270282626	1	0.3824420038752095	Lee_PRIMM_NL	0
PRIMARY	s__GGB3034_SGB4030	CONSISTENT_NONSIGNIFICANT	5	0.18579138765648937	-0.21529872224526111	0.5868814975582398	0.26780753191099327	0.9899399288667535	0.0	-0.2739503653428863	0.6455331406558651	0.8	4	1	0	0	3	0.1092051439735749	0.49795744651136625	0.9868213417628564	2.3223147409214153	0.6666666666666666	1	0	0.36843541431392024	0.33798329111617587	0.9996325270282626	1	0.3591004111321901	Lee_PRIMM_NL	0
PRIMARY	s__Collinsella_SGB14987	CONSISTENT_NONSIGNIFICANT	5	0.17516117769533582	-0.22834889393902005	0.5786712493296917	0.2945355937132833	0.9899399288667535	0.0	-0.28735440949756497	0.6376767648882367	0.8	4	1	0	0	4	0.13735246999523326	0.43374090812487487	0.9868213417628564	0.0	0.75	1	0	0.5657378198389404	0.22170795311932243	0.9996325270282626	1	0.48920028671743315	Frankel_US	0
PRIMARY	s__GGB9480_SGB14874	CONSISTENT_NONSIGNIFICANT	5	-0.1457726216132566	-0.5174119489581117	0.22586670573159856	0.3373541809535804	0.9899399288667535	0.0	-0.5717569869821315	0.2802117437556183	0.8	1	4	0	0	5	-0.07760290986608809	0.5181449686813265	0.9868213417628564	0.0	0.8	1	0	-0.3577156485192986	0.3238898622991984	0.9996325270282626	1	0.2880147950244934	Frankel_US	0
PRIMARY	s__Pseudoflavonifractor_gallinarum	CONSISTENT_NONSIGNIFICANT	5	-0.12544049021529857	-0.609127544685852	0.35824656425525475	0.5113241988848101	0.9899399288667535	23.980853989178897	-0.9547382242910373	0.7038572438604401	0.8	1	4	0	0	4	-0.13330656589762072	0.5849700588193456	0.9868213417628564	42.95738920738391	0.75	1	0	-0.5650576972344414	0.32109430019695917	0.9996325270282626	1	0.2931734444929653	Frankel_US	0
PRIMARY	s__Collinsella_bouchesdurhonensis	CONSISTENT_NONSIGNIFICANT	5	0.12412124173793355	-0.2682006406355152	0.5164431241113823	0.4293250536668573	0.9899399288667535	0.0	-0.3255701008084169	0.573812584284284	0.8	4	1	0	0	3	0.1224004181083203	0.4494511033987504	0.9868213417628564	0.0	1.0	1	0	0.2799569826425116	0.49512671946143116	0.9996325270282626	1	0.4252783111155587	Lee_PRIMM_NL	0
PRIMARY	s__Candidatus_Catenibacterium_tridentinum	CONSISTENT_NONSIGNIFICANT	5	-0.10324654359840549	-0.6145291233360787	0.40803603613926775	0.6049431674462696	0.9899399288667535	43.18211762788528	-1.1547339190150832	0.9482408318182721	0.8	1	4	0	0	3	-0.08578026636259865	0.5663652848843275	0.9868213417628564	5.881807130554318	0.6666666666666666	1	0	-0.3751975273923008	0.46625946210709535	0.9996325270282626	1	0.3268712438389973	Lee_PRIMM_UK	0
PRIMARY	s__Faecalibacillus_intestinalis	CONSISTENT_NONSIGNIFICANT	9	0.27028052484742277	0.015142925424746934	0.5254181242700986	0.0403833181037546	0.9899399288667535	0.0	0.008657162217193093	0.5319038874776525	0.7777777777777778	7	2	0	0	5	0.28799697280049474	0.059409830834449485	0.9868213417628564	0.0	0.8	1	1	0.7240954471008623	0.01985971935979146	0.9996325270282626	1	0.2561421630736143	Matson_US	0
PRIMARY	s__Parabacteroides_merdae	CONSISTENT_NONSIGNIFICANT	9	0.2558964548723134	-0.022063029537789824	0.5338559392824166	0.06651748299289452	0.9899399288667535	14.759241385215137	-0.04063803794218118	0.5524309476868079	0.7777777777777778	7	2	0	0	5	0.2341958324945652	0.1679637633766439	0.9868213417628564	37.193103701044286	0.8	1	0	0.5912824441310747	0.17104070294984422	0.9996325270282626	1	0.1992218742738403	Gopalakrishnan_US	0
PRIMARY	s__Lacrimispora_celerecrescens	CONSISTENT_NONSIGNIFICANT	9	0.23185388912947266	-0.02351909542146316	0.4872268736804085	0.069624150120578	0.9899399288667535	0.0	-0.03001084230975662	0.49371862056870197	0.7777777777777778	7	2	1	0	5	0.24544706484964984	0.08969649537158501	0.9868213417628564	0.0	1.0	1	1	0.5343845008540946	0.09522709724209748	0.9996325270282626	1	0.21140678527895787	Spencer_US	0
