species	available_scenarios	same_pooled_direction_all_scenarios	pooled_effect_range	same_classification_all_scenarios	primary_classification	primary_pooled_effect	primary_fdr_q	primary_I2	S1_effect	S2_effect	S3_effect	S1_classification	S2_classification	S3_classification
s__Senegalimassilia_anaerobia	4	1	0.005043249597560168	1	OTHER_OR_INSUFFICIENT	0.016937019535701887	0.9899399288667535	0.0	0.016937019535701887	0.016937019535701887	0.021980269133262054	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Slackia_isoflavoniconvertens	4	1	0.020663874428488563	1	OTHER_OR_INSUFFICIENT	0.07863845602473167	0.9899399288667535	0.0	0.08326197906393282	0.08605118155728711	0.06538730712879855	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Solibaculum_mannosilyticum	4	1	0.033628766506492894	0	OTHER_OR_INSUFFICIENT	0.1068476472580704	0.9899399288667535	0.0	0.1068476472580704	0.1068476472580704	0.1404764137645633	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	CONSISTENT_NONSIGNIFICANT
s__Solobacterium_SGB6829	4	1	0.11265854295341976	1	OTHER_OR_INSUFFICIENT	0.0483002637503628	0.9899399288667535	50.82732557634141	0.0483002637503628	0.0483002637503628	0.16095880670378257	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Streptococcus_SGB14888	4	1	0.002904814245771936	1	CONSISTENT_NONSIGNIFICANT	-0.3176806479609405	0.9899399288667535	0.0	-0.3176806479609405	-0.3176806479609405	-0.31477583371516854	CONSISTENT_NONSIGNIFICANT	CONSISTENT_NONSIGNIFICANT	CONSISTENT_NONSIGNIFICANT
s__Streptococcus_anginosus	4	1	0.028365411865470862	1	OTHER_OR_INSUFFICIENT	0.061125251855483294	0.9899399288667535	22.661045843511847	0.061125251855483294	0.061125251855483294	0.03275983999001243	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Streptococcus_australis	4	1	0.04627308283017473	1	OTHER_OR_INSUFFICIENT	-0.06832907790165574	0.9899399288667535	0.0	-0.06832907790165574	-0.06832907790165574	-0.11460216073183047	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Streptococcus_constellatus	4	1	0.14382854216862215	1	OTHER_OR_INSUFFICIENT	0.1968186725557537	0.9899399288667535	48.05486851433497	0.1968186725557537	0.1968186725557537	0.052990130387131545	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Streptococcus_cristatus	3	1	0.0	1	OTHER_OR_INSUFFICIENT	-0.3434722842046079	0.9899399288667535	0.0	-0.3434722842046079	-0.3434722842046079		OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	
s__Streptococcus_gordonii	4	0	0.08660183078809698	1	OTHER_OR_INSUFFICIENT	0.011851320259716084	0.9899399288667535	4.706466020322991	-0.0354354532960489	-0.018119469045499915	-0.0747505105283809	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
