scenario	analysis_level	group	species	effect_type	n	responders	non_responders	prevalence	responder_prevalence	non_responder_prevalence	pseudocount	effect	variance	se	ci_low	ci_high	responder_mean	non_responder_mean
PRIMARY	domain	Frankel_US	s__Akkermansia_sp_BIOML_A40	PRESENCE_LOG_OR	39	24	15	0.358974358974359	0.375	0.3333333333333333	1.13823473906e-07	0.1823215567939546	0.47777777777777775	0.6912147117775906	-1.1724592782901229	1.5371023918780322		
PRIMARY	domain	Frankel_US	s__Akkermansia_sp_KLE1798	CLR_HEDGES_G	39	24	15	0.15384615384615385	0.20833333333333334	0.06666666666666667	1.13823473906e-07	0.16357444672144356	0.10869490900387693	0.3296891096228035	-0.48261620813925127	0.8097651015821383	0.4847161896446451	-0.013200131553149082
PRIMARY	domain	Frankel_US	s__Akkermansia_sp_KLE1798	PRESENCE_LOG_OR	39	24	15	0.15384615384615385	0.20833333333333334	0.06666666666666667	1.13823473906e-07	1.3040562628829184	1.3240601503759397	1.150678126313323	-0.9512728646911948	3.559385390457032		
PRIMARY	domain	Frankel_US	s__Alistipes_SGB2302	CLR_HEDGES_G	39	24	15	0.10256410256410256	0.041666666666666664	0.2	1.13823473906e-07	-0.05782993739597843	0.1083785265989985	0.3292089406425629	-0.7030794610554016	0.5874195862634448	-0.35643253686912674	-0.23705519491664878
PRIMARY	domain	Frankel_US	s__Alistipes_SGB2302	PRESENCE_LOG_OR	39	24	15	0.10256410256410256	0.041666666666666664	0.2	1.13823473906e-07	-1.749199854809259	1.4601449275362317	1.2083645673124612	-4.117594406741683	0.619194697123165		
PRIMARY	domain	Frankel_US	s__Alistipes_SGB2313	CLR_HEDGES_G	39	24	15	0.28205128205128205	0.25	0.3333333333333333	1.13823473906e-07	-0.04548996882087753	0.10836129735040528	0.32918277195261186	-0.6906882018479967	0.5997082642062417	1.1875144292019857	1.3588978134431267
PRIMARY	domain	Frankel_US	s__Alistipes_SGB2313	PRESENCE_LOG_OR	39	24	15	0.28205128205128205	0.25	0.3333333333333333	1.13823473906e-07	-0.40546510810816444	0.5222222222222223	0.7226494462892933	-1.8218580228351793	1.0109278066188505		
PRIMARY	domain	Frankel_US	s__Alistipes_communis	CLR_HEDGES_G	39	24	15	0.41025641025641024	0.4166666666666667	0.4	1.13823473906e-07	0.12296414962736017	0.10853766011838172	0.3294505427501702	-0.5227589141629735	0.7686872134176937	3.1950727316134	2.6113912055071773
PRIMARY	domain	Frankel_US	s__Alistipes_communis	PRESENCE_LOG_OR	39	24	15	0.41025641025641024	0.4166666666666667	0.4	1.13823473906e-07	0.06899287148695142	0.4492063492063492	0.6702285798191161	-1.2446551449585161	1.382640887932419		
PRIMARY	domain	Frankel_US	s__Alistipes_dispar	CLR_HEDGES_G	39	24	15	0.1794871794871795	0.125	0.26666666666666666	1.13823473906e-07	-0.3952080151874432	0.11044400056669007	0.33233116099260096	-1.046577090732941	0.25616106035805464	-0.04582733321627722	1.071988156983773
PRIMARY	domain	Frankel_US	s__Alistipes_dispar	PRESENCE_LOG_OR	39	24	15	0.1794871794871795	0.125	0.26666666666666666	1.13823473906e-07	-0.9343092373768334	0.7218614718614719	0.8496243121883177	-2.5995728892659358	0.7309544145122693		
PRIMARY	domain	Frankel_US	s__Alistipes_finegoldii	CLR_HEDGES_G	39	24	15	0.7948717948717948	0.8333333333333334	0.7333333333333333	1.13823473906e-07	0.3702990179518471	0.1101863247211185	0.3319432552728229	-0.2803097623828858	1.02090779828658	6.645318894865638	5.0333477569343605
PRIMARY	domain	Frankel_US	s__Alistipes_finegoldii	PRESENCE_LOG_OR	39	24	15	0.7948717948717948	0.8333333333333334	0.7333333333333333	1.13823473906e-07	0.5978370007556204	0.6409090909090909	0.8005679801922451	-0.9712762404211799	2.1669502419324207		
PRIMARY	domain	Frankel_US	s__Alistipes_ihumii	CLR_HEDGES_G	39	24	15	0.28205128205128205	0.20833333333333334	0.4	1.13823473906e-07	-0.21892498742962618	0.10898101103767201	0.3301227211775524	-0.8659655209376289	0.42811554607837654	1.2851707469910272	2.210976176547225
PRIMARY	domain	Frankel_US	s__Alistipes_ihumii	PRESENCE_LOG_OR	39	24	15	0.28205128205128205	0.20833333333333334	0.4	1.13823473906e-07	-0.9295359586241757	0.5304093567251462	0.72829208201459	-2.356988439372772	0.4979165221244205		
PRIMARY	domain	Frankel_US	s__Alistipes_indistinctus	CLR_HEDGES_G	39	24	15	0.5128205128205128	0.5833333333333334	0.4	1.13823473906e-07	0.32915664739056505	0.10979744277281167	0.33135697181862894	-0.3203030173739476	0.9786163121550777	4.18273774275536	2.7047871446711698
PRIMARY	domain	Frankel_US	s__Alistipes_indistinctus	PRESENCE_LOG_OR	39	24	15	0.5128205128205128	0.5833333333333334	0.4	1.13823473906e-07	0.7419373447293773	0.4492063492063492	0.6702285798191161	-0.5717106717160902	2.055585361174845		
PRIMARY	domain	Frankel_US	s__Alistipes_onderdonkii	CLR_HEDGES_G	39	24	15	0.8205128205128205	0.875	0.7333333333333333	1.13823473906e-07	0.12751690630716433	0.1085530706494705	0.3294739301514924	-0.5182519967897607	0.7732858094040895	7.30425302423641	6.7278228447467505
PRIMARY	domain	Frankel_US	s__Alistipes_onderdonkii	PRESENCE_LOG_OR	39	24	15	0.8205128205128205	0.875	0.7333333333333333	1.13823473906e-07	0.9343092373768334	0.7218614718614719	0.8496243121883177	-0.7309544145122693	2.5995728892659358		
