scenario	model	domain_a	domain_b	auc_a_to_b	auc_b_to_a	reciprocal_mean_auc	reciprocal_min_auc	reciprocal_max_auc	absolute_directional_asymmetry	train_size_difference_absolute	response_rate_difference_absolute	same_study_family	same_country	same_treatment_scope_group	aitchison_centroid_distance	bray_curtis_centroid_distance	jensen_shannon_distance	prevalence_l1_distance
PRIMARY	ridge	Gopalakrishnan_US	Matson_US	0.4791666666666667	0.5909090909090908	0.5350378787878788	0.4791666666666667	0.5909090909090908	0.11174242424242414	13	0.19157894736842113	0	1	1	1.1378781135158458	0.32940473391192715	0.35644838628752057	0.0470108604845447
PRIMARY	ridge	Gopalakrishnan_US	Spencer_US	0.4257854821235103	0.2922077922077922	0.3589966371656512	0.2922077922077922	0.4257854821235103	0.1335776899157181	72	0.17195876288659784	0	1	0	0.8663222398807107	0.3242323634033718	0.32656385568073787	0.033931879280921985
PRIMARY	ridge	Lee_Barcelona	Lee_Leeds	0.625	0.6666666666666667	0.6458333333333334	0.625	0.6666666666666667	0.04166666666666674	6	0.05555555555555558	1	0	1	1.900081845184206	0.5949875337870366	0.5175184809533883	0.0664525069286974
PRIMARY	ridge	Lee_Barcelona	Lee_Manchester	0.4423076923076923	0.36111111111111105	0.40170940170940167	0.36111111111111105	0.4423076923076923	0.08119658119658124	13	0.020000000000000018	1	0	1	2.2125872071199106	0.699237363642387	0.5968096276682744	0.0739697656840514
PRIMARY	ridge	Lee_Barcelona	Lee_PRIMM_NL	0.40633608815427	0.5	0.453168044077135	0.40633608815427	0.5	0.09366391184572997	43	0.09999999999999998	1	0	1	2.2654600312628763	0.7635200611439845	0.6434861265694625	0.0709798666941524
PRIMARY	ridge	Lee_Barcelona	Lee_PRIMM_UK	0.3982683982683982	0.3611111111111111	0.37968975468975463	0.3611111111111111	0.3982683982683982	0.03715728715728711	42	0.11111111111111116	1	0	1	2.1906652798974484	0.6864949908918968	0.594816419606938	0.07321323591164862
PRIMARY	ridge	Lee_Barcelona	Matson_US	0.39880952380952384	0.27777777777777773	0.3382936507936508	0.27777777777777773	0.39880952380952384	0.1210317460317461	26	0.13157894736842107	0	0	0	1.9036925455120652	0.5117333886100498	0.4641582272842964	0.07052750924931375
PRIMARY	ridge	Lee_Barcelona	Spencer_US	0.5557963163596966	0.6111111111111112	0.5834537137354039	0.5557963163596966	0.6111111111111112	0.05531479475141454	85	0.2319587628865979	0	0	0	1.391846202645219	0.4289819163420409	0.40151921943678875	0.059569784385690126
PRIMARY	ridge	Lee_Leeds	Lee_Manchester	0.2948717948717948	0.225	0.2599358974358974	0.225	0.2948717948717948	0.06987179487179482	7	0.0755555555555556	1	1	1	1.5545824937549038	0.47164689705627394	0.4330400701509546	0.05555555555555555
PRIMARY	ridge	Lee_Leeds	Lee_PRIMM_NL	0.4944903581267218	0.4375	0.4659951790633609	0.4375	0.4944903581267218	0.05699035812672182	37	0.0444444444444444	1	0	1	1.5566246650097413	0.4778931549680615	0.43468033313280113	0.058371927895737426
PRIMARY	ridge	Lee_Leeds	Lee_PRIMM_UK	0.4862914862914863	0.575	0.5306457431457431	0.4862914862914863	0.575	0.08870851370851368	36	0.05555555555555558	1	1	1	1.4223043524177503	0.4473893542658809	0.4113155539569585	0.05030654237003443
PRIMARY	ridge	Lee_Leeds	Matson_US	0.47916666666666663	0.5249999999999999	0.5020833333333332	0.47916666666666663	0.5249999999999999	0.04583333333333328	20	0.18713450292397665	0	0	0	1.9771596498918715	0.5811823747640369	0.49020061089929295	0.07011311347150946
PRIMARY	ridge	Lee_Leeds	Spencer_US	0.5308775731310943	0.4375	0.48418878656554715	0.4375	0.5308775731310943	0.0933775731310943	79	0.1764032073310423	0	0	0	1.8343999907642503	0.5462421632104126	0.47054562970191266	0.0711516832773583
PRIMARY	ridge	Lee_Manchester	Lee_PRIMM_NL	0.5123966942148761	0.36538461538461536	0.43889065479974576	0.36538461538461536	0.5123966942148761	0.14701207883026074	30	0.12	1	0	1	1.023240361097451	0.37225480323409776	0.3551927713469969	0.039582766439909295
PRIMARY	ridge	Lee_Manchester	Lee_PRIMM_UK	0.5252525252525253	0.5897435897435896	0.5574980574980575	0.5252525252525253	0.5897435897435896	0.06449106449106434	29	0.13111111111111118	1	1	1	0.9138188960887204	0.3284935922301878	0.31756491921131447	0.036730326698580666
